171,Lakewood,Colorado,"142,980","142,980","143,224","144,406"
172,Alexandria,Virginia,"139,966","139,966","140,894","144,301"
173,Hollywood,Florida,"140,768","140,768","141,095","143,357"
174,Naperville,Illinois,"141,853","141,853","142,051","142,773"
175,Mesquite,Texas,"139,824","139,824","140,245","142,674"
176,Sunnyvale,California,"140,081","140,081","140,449","142,287"
177,Dayton,Ohio,"141,527","141,527","141,696","142,148"
178,Cary town,North Carolina,"135,234","135,249","136,135","139,633"
179,Savannah,Georgia,"136,286","136,280","136,565","139,491"
180,Orange,California,"136,416","136,416","136,739","138,409"
181,Pasadena,California,"137,122","137,122","137,238","138,101"
182,Fullerton,California,"135,161","135,161","135,488","137,183"
183,Hampton,Virginia,"137,436","137,436","137,328","136,401"
184,Clarksville,Tennessee,"132,929","132,934","133,680","136,231"
185,McKinney,Texas,"131,117","131,117","132,140","136,067"
186,Warren,Michigan,"134,056","134,056","134,051","134,243"
187,McAllen,Texas,"129,877","129,877","130,759","133,742"
188,West Valley City,Utah,"129,480","129,480","129,935","131,942"
189,Columbia,South Carolina,"129,272","129,276","129,612","130,591"
190,Killeen,Texas,"127,921","127,921","129,030","130,018"
191,Sterling Heights,Michigan,"129,699","129,699","129,693","129,880"
192,New Haven,Connecticut,"129,779","129,779","129,774","129,585"
193,Topeka,Kansas,"127,473","127,473","127,717","128,188"
194,Thousand Oaks,California,"126,683","126,683","127,009","127,984"
195,Olathe,Kansas,"125,872","125,872","126,234","127,907"
196,Cedar Rapids,Iowa,"126,326","126,326","126,528","127,905"
197,Waco,Texas,"124,805","124,805","125,351","126,697"
198,Visalia,California,"124,442","124,442","124,816","126,432"
199,Elizabeth,New Jersey,"124,969","124,969","125,195","125,660"
200,Simi Valley,California,"124,237","124,237","124,559","125,522"
201,Gainesville,Florida,"124,354","124,354","124,394","125,326"
202,Hartford,Connecticut,"124,775","124,775","124,789","124,867"
203,Bellevue,Washington,"122,363","122,359","122,737","124,798"
204,Miramar,Florida,"122,041","122,041","122,327","124,302"
205,Concord,California,"122,067","122,067","122,484","124,055"
206,Stamford,Connecticut,"122,643","122,643","122,848","123,868"
207,Coral Springs,Florida,"121,096","121,098","121,382","123,338"
208,Charleston,South Carolina,"120,083","120,083","120,479","122,689"
209,Carrollton,Texas,"119,097","119,097","119,729","122,640"
210,Lafayette,Louisiana,"120,623","120,621","120,905","122,130"
211,Roseville,California,"118,788","118,788","119,403","121,767"
212,Thornton,Colorado,"118,772","118,775","119,334","121,435"
213,Frisco,Texas,"116,989","116,989","117,871","121,387"
214,Kent,Washington,"92,411","118,564","118,929","120,916"
215,Surprise,Arizona,"117,517","117,517","117,755","119,489"
216,Allentown,Pennsylvania,"118,032","118,032","118,232","119,141"
217,Beaumont,Texas,"118,296","118,296","118,347","118,548"
218,Santa Clara,California,"116,468","116,468","116,767","118,263"
219,Abilene,Texas,"117,063","117,063","117,404","118,117"
220,Evansville,Indiana,"117,429","117,429","117,483","117,825"
221,Victorville,California,"115,903","115,921","116,299","117,597"
222,Independence,Missouri,"116,830","116,830","116,969","117,213"
223,Denton,Texas,"113,383","113,379","114,103","117,187"
224,Springfield,Illinois,"116,250","116,272","116,479","117,076"
225,Vallejo,California,"115,942","115,940","116,161","116,829"
226,Athens,Georgia,"115,452","115,453","115,450","116,084"
227,Provo,Utah,"112,488","112,488","113,153","115,321"
228,Peoria,Illinois,"115,007","115,025","114,895","115,234"
229,Ann Arbor,Michigan,"113,934","113,934","114,076","114,925"
230,Lansing,Michigan,"114,297","114,297","114,247","114,605"
231,El Monte,California,"113,475","113,475","113,571","114,296"
232,Midland,Texas,"111,147","111,147","111,255","113,931"
233,Berkeley,California,"112,580","112,578","112,765","113,905"
234,Norman,Oklahoma,"110,925","110,925","111,426","113,273"
235,Downey,California,"111,772","111,772","111,868","112,584"
236,Costa Mesa,California,"109,960","109,960","110,225","111,600"
